gppd_idnr,name,lat,lon,capacity_mw,primary_fuel,type
CAN0007595,13th Side Road,42.855,-80.3607,9.5,Solar,solar
CAN0007597,Aberfeldie,49.4933,-115.3624,24.0,Hydro,hydro
CAN0002096,Abitibi Canyon,49.8822,-81.567,349.0,Hydro,hydro
CAN0007596,Abénaquis,45.4052,-71.8932,2.1,Hydro,hydro
CAN0007599,Adam-Cunningham,48.6581,-71.1708,7.0,Hydro,hydro
CAN0007600,Adelaide,42.9877,-81.7068,59.9,Wind,wind
CAN0007601,Adelaide (Suncor),43.0184,-81.7392,40.0,Wind,wind
CAN0007602,Adelaide 1,42.9585,-81.6708,10.0,Solar,solar
CAN0007604,Aguasabon,48.7867,-87.161,45.0,Hydro,hydro
CAN0007607,Alderville 3,44.1939,-78.0946,5.0,Solar,solar
CAN0007608,Alexander,49.1355,-88.358,69.0,Hydro,hydro
CAN0007609,Alfred,45.54,-74.8878,10.0,Solar,solar
CAN1060003,Algoma Cogeneration,49.5244,-84.3712,63.0,Gas,gas
CAN0007610,Almonte,45.2258,-76.1981,5.0,Hydro,hydro
CAN0007613,Amherstburg Solar,42.1449,-83.0769,10.0,Solar,solar
CAN0007614,Amherstburg-1,42.1637,-83.0807,20.0,Solar,solar
CAN0007615,Amherstburg-2,42.169,-83.0876,15.0,Solar,solar
CAN0007616,Andrews,47.2386,-84.6461,47.0,Hydro,hydro
CAN0007617,Annacis Island Wwtp,49.1668,-122.9497,3.2,Biomass,biomass
CAN0007619,Appleton,45.1829,-76.1267,1.4,Hydro,hydro
CAN0007620,Ardenville,49.583,-113.4351,69.0,Wind,wind
CAN0007621,Aria,44.629,-79.8493,9.0,Solar,solar
CAN0002098,Armow,44.2044,-81.4574,180.0,Wind,wind
CAN0007624,Arnprior,45.4187,-76.347,82.0,Hydro,hydro
CAN0007625,Arnprior Solar,45.4083,-76.275,23.4,Solar,solar
CAN0002099,Arrow Lakes,49.343,-117.7688,185.0,Hydro,hydro
CAN0007627,Arthur,43.8478,-80.5152,10.0,Wind,wind
CAN0007629,Ashlu Creek,49.9143,-123.325,49.9,Hydro,hydro
CAN0007630,Atholville,47.9927,-66.7225,21.0,Biomass,biomass
CAN0002100,Atikokan-G1,48.8381,-91.5708,215.0,Biomass,biomass
CAN0002101,Aubrey Falls,46.9095,-83.2129,162.0,Hydro,hydro
CAN0007633,Auburn,44.3235,-78.314,2.0,Hydro,hydro
CAN0007637,Ayers-1,45.6367,-74.3605,4.8,Hydro,hydro
CAN0007638,Ayers-2,45.6436,-74.3539,1.0,Hydro,hydro
CAN0002102,Baie-des-Sables,48.7066,-67.8841,109.5,Wind,wind
CAN0007640,Balsam Lake,44.651,-78.7587,3.0,Solar,solar
CAN0007643,Barrage-Larocque,45.4791,-71.9532,10.6,Hydro,hydro
CAN0002103,Barrett Chute,45.2499,-76.759,176.0,Hydro,hydro
CAN0007648,Batawa,44.1685,-77.5881,5.0,Hydro,hydro
CAN0002023,Bayside Power,45.2753,-66.0263,290.0,Gas,gas
CAN0007650,Beamlight,44.2588,-79.293,10.0,Solar,solar
CAN0007652,Beare Road LFG,43.8233,-79.1639,5.0,Biomass,biomass
CAN0002106,Beauharnois,45.3141,-73.9088,1877.0,Hydro,hydro
CAN0002107,Beaumont,47.5561,-72.8362,270.0,Hydro,hydro
CAN0007657,Becker Cogeneration,49.2105,-84.6673,15.0,Biomass,biomass
CAN0002108,Beechwood,46.5428,-67.6687,112.0,Hydro,hydro
CAN0007659,Belding,45.146,-71.8078,1.6,Hydro,hydro
CAN0007660,Belle-Rivière,48.4417,-71.7389,1.0,Hydro,hydro
CAN0007661,Belleterre,47.5739,-78.5576,2.2,Hydro,hydro
CAN0007662,Belleville TS Demorestville,44.0652,-77.2579,10.0,Solar,solar
CAN0007663,Belly River,49.315,-113.5743,3.0,Hydro,hydro
CAN0007664,Belmont,42.8913,-81.1134,20.0,Solar,solar
CAN0007665,Bensfort Road LFG,44.2271,-78.2873,1.6,Biomass,biomass
CAN0002109,Bersimis-1,49.2947,-69.5514,1178.0,Hydro,hydro
CAN0002110,Bersimis-2,49.1754,-69.2263,869.0,Hydro,hydro
CAN0007669,Big Beaver Falls,49.2998,-82.5273,5.5,Hydro,hydro
CAN0007670,Big Chute,44.8843,-79.6761,10.0,Hydro,hydro
CAN0007671,Big Eddy,45.0206,-79.753,8.0,Hydro,hydro
CAN0007672,Big Eddy Inco,46.3839,-81.5781,27.6,Hydro,hydro
CAN0007674,Big Silver Creek,49.693,-121.8591,40.6,Hydro,hydro
CAN0007676,Bingham Chute,46.0761,-79.3968,1.0,Hydro,hydro
