wpi_number,name,lat,lon,type
7950.0,Maurer,40.533333,-74.25,port
7010.0,New Harbor,43.866667,-69.483333,port
9210.0,Norsworthy,29.733333,-95.2,port
6750.0,Minturn,44.15,-68.45,port
6820.0,Criehaven,43.833333,-68.883333,port
6670.0,Corea,44.4,-67.966667,port
6970.0,Monhegan,43.766667,-69.316667,port
6710.0,Northeast Harbor,44.3,-68.283333,port
6800.0,Bucks Harbor,44.333333,-68.733333,port
6830.0,Matinicus,43.866667,-68.883333,port
7900.0,Grasselli,40.616667,-74.2,port
7890.0,Port Socony,40.55,-74.25,port
7020.0,Pemaquid Beach,43.866667,-69.533333,port
9230.0,Sinco,29.716667,-95.233333,port
7070.0,Robinhood,43.85,-69.733333,port
6980.0,Port Clyde,43.916667,-69.25,port
7000.0,Friendship,43.966667,-69.333333,port
6880.0,Bucksport,44.566667,-68.783333,port
9240.0,Houston,29.75,-95.28333300000001,port
7190.0,Newburyport,42.816667,-70.866667,port
8280.0,Norfolk,36.85,-76.29999999999998,port
7460.0,Greenport,41.1,-72.366667,port
6910.0,Searsport,44.45,-68.916667,port
6950.0,Rockport,44.183333,-69.066667,port
15915.0,San Juan De La Costa,24.4,-110.7,port
6680.0,Winter Harbor,44.383333,-68.083333,port
8030.0,New Castle,39.65,-75.56666699999998,port
8290.0,Portsmouth,36.816667,-76.29999999999998,port
8110.0,Philadelphia,39.95,-75.13333299999998,port
8025.0,Salem Nj,39.666667,-75.483333,port
16040.0,Isthmus Cove,33.45,-118.5,port
16310.0,Yerbabuena Island,37.816667,-122.366667,port
16140.0,Ventura,34.283333,-119.283333,port
16130.0,Prisoners,34.016667,-119.683333,port
9995.0,Clifton Pier,25.0,-77.54999999999998,port
15990.0,Ensenada,31.866667,-116.633333,port
15917.0,Pichilingue,24.266667,-110.333333,port
8225.0,Annapolis,38.983333,-76.483333,port
8210.0,Baltimore,39.266667,-76.58333299999998,port
8130.0,Camden,39.95,-75.13333299999998,port
8080.0,Chester,39.85,-75.34999999999998,port
7810.0,Newark,40.7,-74.15,port
7790.0,Bayonne,40.683333,-74.09999999999998,port
7770.0,Hoboken,40.75,-74.016667,port
7610.0,Greenwich,41.016667,-73.616667,port
7570.0,Bridgeport,41.166667,-73.183333,port
7400.0,Fall River,41.7,-71.166667,port
7720.0,Albany,42.65,-73.75,port
6940.0,Camden,44.216667,-69.066667,port
6860.0,Castine,44.383333,-68.733333,port
16050.0,Avalon,33.35,-118.316667,port
9340.0,Brownsville,25.95,-97.4,port
9150.0,Galveston,29.316667,-94.78333300000001,port
9140.0,Beaumont,30.083333,-94.083333,port
